Commodity,Ticker,Return [%],Max DD [%],Avg DD [%],Win Rate [%],# Trades,Exposure [%]
Gold,GC=F,-49.708255913097055,-66.14687033938519,-40.81992701641431,36.36363636363637,11.0,6.4623032311516155
Crude Oil,CL=F,-99.44201500523513,-99.86711701492551,-74.8028060238326,25.0,16.0,27.174813587406792
Natural Gas,NG=F,-100.0,-100.0,-38.276198856135345,66.66666666666666,3.0,4.966887417218543
Copper,HG=F,-85.3892384059989,-88.67910942925492,-44.69273299248695,31.25,16.0,10.513245033112582
Silver,SI=F,-80.28141404936632,-94.79889397950727,-40.634792317089676,35.294117647058826,17.0,11.101905550952775
AVERAGE,,-82.96418467473949,-89.89839815261459,-47.845291441191776,38.91488413547237,12.6,12.043830963968464
