Pair,Return [%],Max DD [%],Avg DD [%],Win Rate [%],# Trades,Exposure [%]
EUR/USD,-73.3230682216455,-87.11226597292945,-31.11164838839297,35.526315789473685,76.0,20.105071731662964
GBP/USD,-97.65616587909976,-97.84245893823584,-73.63910293385075,28.000000000000004,75.0,19.19579713073348
USD/JPY,-86.76419435147417,-96.63819184930854,-20.132869300524007,33.33333333333333,87.0,22.02465144473631
AUD/USD,-98.21641383460614,-99.73272920196791,-31.741050010211097,32.857142857142854,70.0,22.772277227722775
USD/CAD,-74.88091387589205,-88.4341305894452,-17.774588521300746,37.9746835443038,79.0,25.075772883410792
AVERAGE,-86.16815123254352,-93.95195531037739,-34.87985183085592,33.53829510485074,77.4,21.83471408365326
